,corr_day_close,corr_day_vol,corr_open_close,day_high,day_low,div_freq,dividend,eps,ex_div_date,market_cap,open,prev_close,price_precent_change_5d,quote_price,quote_price_change,quote_price_change_percent,quote_symbol,quote_volume,yield
2014,0.34427262450953666,-0.7724538547152083,0.3506320138225256,19.13,19.11,N/A,N A,0.120000,N/A,1084929047,19.12,19.11,0.21,19.12,0.01,0.05,SUM,78412,N/A
2015,-0.6911207541128712,0.7499257908977773,0.7610571074446905,0.64,0.64,N/A,N A,-0.030000,N/A,1181645461,0.64,0.65,0.0,0.64,-0.01,-1.54,SOLG,3500,N/A
2016,0.3079619630805206,-0.21138652882401862,0.8237973899301636,32.76,32.55,N/A,N A,N/A,N/A,220252500,32.76,32.46,0.62,32.63,0.17,0.52,DXU,2620,N/A
2017,-0.9376688737108253,-0.19017795110236782,0.7069519772245692,N/A,N/A,N/A,N A,-0.030000,N/A,0,N/A,0.00,-11.43,0.0,0.0,0.0,AUMN,0,N/A
2018,-0.8874254411692445,0.22831046498992,0.944375305326932,8.59,8.56,Monthly,0.050 CAD,1.010000,03/28/2019,45163574,8.56,8.58,-6.52,8.59,0.01,0.12,HIG,612,6.985
2019,0.9631546157250888,0.14933982218905353,0.9965338290839054,N/A,N/A,Quarterly,0.155 CAD,N/A,03/28/2019,30804000,N/A,25.67,1.95,25.67,0.0,0.0,EHE.B,0,2.006
2020,,,,19.61,19.20,Quarterly,0.238 CAD,N/A,01/30/2019,192000000,19.61,19.41,,19.2,-0.21,-1.08,TRP.PR.G,9397,4.948
2021,0.98502520698602,0.19363748551456242,0.6536607391340676,1.38,1.28,N/A,N A,0.010000,N/A,64280518,1.28,1.35,12.68,1.37,0.02,1.48,KLS,17918,N/A
2022,,,,11.00,11.00,N/A,N A,N/A,N/A,31324821,11.00,10.85,,11.0,0.15,1.38,BPO.PR.Y,100,N/A
2023,-0.6786202851735836,-0.4041417627220189,0.9018168936746654,10.06,9.94,N/A,N A,-8.540000,N/A,26230500,9.94,10.035,-3.77,10.05,0.015,0.15,HZU,13580,N/A
2024,-0.936301778339822,0.05972216349874657,0.9333517804264244,2.00,1.95,N/A,N A,-0.980000,N/A,58453509,1.97,1.96,-39.15,1.97,0.01,0.51,PTM,8500,N/A
2025,0.8871036111464685,-0.15073667895366977,0.9999373625374486,84.14,83.97,Quarterly,0.545 CAD,7.050000,03/01/2019,232510036,83.97,84.13,10.26,84.14,0.01,0.01,TPX.A,350,2.592
2026,-0.6609612493509553,0.37886506639499484,0.5304355444027604,4.80,4.50,N/A,N A,-0.650000,N/A,229205796,4.76,4.74,-20.48,4.53,-0.21,-4.43,IMV,19812,N/A
2027,0.7538261969539743,0.6146903259573031,0.3545859577239004,4.69,4.66,Monthly,0.030 CAD,N/A,04/29/2019,19539317,4.69,4.67,2.52,4.67,0.0,0.0,HPF,48658,7.709
2028,,,,N/A,N/A,Quarterly,0.088 CAD,N/A,03/28/2019,17734813,N/A,9.38,0.0,9.38,0.0,0.0,CBT.UN,0,3.731
2029,0.8065380290890379,0.21074425760004015,0.9987516631912005,0.00,0.00,N/A,N A,N/A,N/A,18712500,0.00,24.95,2.1,24.95,0.0,0.0,BGU,190,N/A
2030,,,,15.20,15.16,Quarterly,0.189 CAD,N/A,03/29/2019,69422628,15.19,15.14,,15.16,0.02,0.13,BCE.PR.T,900,4.979
2031,,,,14.90,14.63,Quarterly,0.136 CAD,N/A,02/28/2019,124712294,14.69,14.68,,14.63,-0.05,-0.34,GWO.PR.N,15434,3.718
2032,,,,15.10,14.76,Quarterly,0.204 CAD,N/A,02/27/2019,140196723,14.99,15.08,,14.76,-0.32,-2.12,TRP.PR.A,14544,5.532
2033,0.5321755519881073,-0.2528870332741986,0.9344779451813633,23.41,23.38,Semi-Annual,0.203 CAD,N/A,12/28/2018,38577000,23.41,23.36,-0.09,23.38,0.02,0.09,XML,541,2.549
2034,0.7119105278957931,0.23640608828362014,0.8914310129587547,25.78,25.78,Quarterly,0.118 CAD,-0.770000,03/22/2019,12130650,25.78,25.73,0.74,25.78,0.05,0.19,FQC,1300,1.711
2035,0.8878394702699158,0.7162644123203094,0.7774615613948255,0.92,0.90,N/A,N A,-0.010000,N/A,165442453,0.90,0.90,10.53,0.91,0.01,1.11,AII,165050,N/A
2036,,,,17.13,17.00,Quarterly,0.250 CAD,N/A,03/29/2019,408000000,17.13,17.00,,17.0,0.0,0.0,TRP.PR.D,78799,5.882
2037,-0.9206706180433417,0.15769687684396813,0.8595551791574444,17.39,16.92,Quarterly,0.035 USD,0.110000,03/01/2019,2599415151,17.19,17.21,-7.67,16.94,-0.27,-1.57,PAAS,335228,1.089
2038,0.7337107652932056,0.023471037187158192,0.904433854791792,29.75,29.60,Monthly,0.118 CAD,N/A,03/25/2019,1479802500,29.67,29.59,0.27,29.7,0.11,0.37,XUU,18911,1.609
2039,,,,25.35,25.30,Quarterly,0.350 CAD,N/A,03/22/2019,151800000,25.32,25.40,,25.3,-0.1,-0.39,POW.PR.A,1437,5.534
2040,0.9185892618058558,-0.33450783638315695,0.9810903109243362,N/A,N/A,Quarterly,0.130 CAD,N/A,03/27/2019,2045000,N/A,20.45,1.47,20.45,0.0,0.0,DRMC,0,2.543
2041,0.5582816826847128,0.07437960949018384,0.42449396053315785,12.27,12.16,Quarterly,0.210 CAD,-0.040000,04/02/2019,984197102,12.22,12.22,0.65,12.24,0.02,0.16,FSZ,62145,6.863
2042,-0.5894251553756371,0.34553532597103964,0.6506839247240509,9.94,9.36,N/A,N A,-0.130000,N/A,995119842,9.85,9.66,-8.19,9.42,-0.24,-2.48,TRST,1071476,N/A
2043,0.7140198941280921,-0.31121821269518357,0.5652984861328711,32.60,31.99,Quarterly,0.382 CAD,2.770000,03/07/2019,12269272071,32.00,32.14,0.44,32.6,0.46,1.43,POW,2236395,4.687
2044,0.8344082723662906,-0.19604912426753174,0.8929294667592441,5.75,5.66,Monthly,0.031 CAD,-1.050000,04/12/2019,3090122,5.75,5.59,3.13,5.66,0.07,1.25,CDD.UN,1923,6.558
2045,0.6184639366732242,-0.22284344564427952,0.7943399700482524,34.19,34.19,Quarterly,0.179 CAD,N/A,03/22/2019,660814200,34.19,34.03,0.54,34.19,0.16,0.47,RWW.B,200,1.991
2046,,,,19.44,19.29,Quarterly,0.331 USD,N/A,03/14/2019,155040000,19.30,19.35,,19.38,0.03,0.16,ALA.PR.U,6920,6.824
2047,0.5898171850045841,-0.15258235038333898,0.362566284425072,8.33,8.21,Monthly,0.032 CAD,N/A,03/28/2019,112982639,8.21,8.33,0.0,8.33,0.0,0.0,HFP,16435,4.398
2048,0.8844849654228576,-0.3516258276415595,-0.010698672133500469,N/A,N/A,N/A,N A,0.00,N/A,33395329,N/A,0.11,-31.82,0.11,0.0,0.0,GCT.C,0,N/A
2049,,,,18.13,17.49,Quarterly,0.244 CAD,N/A,02/26/2019,139920000,18.07,18.03,,17.49,-0.54,-3.0,MFC.PR.L,8176,5.575
2050,-0.8484542821805163,-0.43540549110570315,0.9383426688541949,14.95,14.91,Quarterly,0.091 CAD,-0.700000,03/25/2019,134190000,14.95,14.88,-1.2,14.91,0.03,0.2,XCS,2531,2.122
2051,0.6716973016232343,-0.08350091149536468,0.9327830813273051,N/A,N/A,Quarterly,0.130 CAD,N/A,03/21/2019,6081000,N/A,20.27,1.53,20.27,0.0,0.0,DRFC,0,2.574
2052,,,,114.00,113.00,N/A,N A,N/A,N/A,113000000,114.00,114.25,,113.0,-1.25,-1.09,GEI.DB,129000,N/A
2053,,,,25.80,25.53,Quarterly,0.328 CAD,N/A,03/29/2019,117438000,25.79,25.56,,25.53,-0.03,-0.12,W.PR.K,5841,5.141
2054,0.4993201136366617,0.3685659356117806,0.5821398830153719,4.84,4.82,Monthly,0.035 CAD,N/A,04/29/2019,268765732,4.84,4.84,-0.42,4.84,0.0,0.0,BTB.UN,50673,8.678
2055,0.17114534360342346,0.45265912502554384,0.8040302522073693,N/A,N/A,N/A,N A,-0.010000,N/A,4359967,N/A,0.13,0.0,0.13,0.0,0.0,GMV,0,N/A
2056,-0.9367691170666504,-0.06700893552925899,0.8727214623628061,31.19,30.36,N/A,N A,-16.510000,N/A,10832713091,30.91,30.77,-9.1,30.98,0.21,0.68,BHC,1020694,N/A
2057,0.8782538562674076,-0.3318509093208657,0.9922480156454488,23.33,23.24,Monthly,0.072 CAD,N/A,04/22/2019,81620000,23.33,23.20,1.46,23.32,0.12,0.52,RIDH,2789,4.357
2058,-0.3229648269917545,0.11970574152135811,0.5455937310817167,14.37,14.35,Quarterly,0.076 CAD,N/A,03/22/2019,91740870,14.35,14.33,-0.49,14.36,0.03,0.21,FXM,2292,2.266
2059,0.6699820803931009,0.3356727530269641,0.8519245072934808,22.39,22.25,Monthly,0.143 CAD,1.530000,04/22/2019,9087086649,22.33,22.28,1.4,22.34,0.06,0.27,IPL,4382108,7.654
2060,-0.14002800840280097,-0.30579034166526636,-0.11111111111111109,0.18,0.18,N/A,N A,-0.090000,N/A,24592171,0.18,0.18,0.0,0.18,0.0,0.0,ORV,17000,N/A
2061,-0.9530306398681311,0.11980341417861867,0.7124519530828368,N/A,N/A,Monthly,0.080 CAD,1.200000,04/29/2019,0,N/A,0.00,-0.57,0.0,0.0,0.0,MRT.UN,0,7.754
2062,-0.9480387048502179,-0.301649843954468,0.8462596470473819,N/A,N/A,N/A,N A,0.07,N/A,0,N/A,0.00,-5.62,0.0,0.0,0.0,ASR,0,N/A
2063,0.6650210057288709,0.33729561730447716,0.6800923521107476,9.58,9.40,N/A,N A,-1.00,N/A,292716263,9.45,9.285,-2.24,9.4,0.115,1.24,FAH.U,4300,N/A
2064,,,,25.98,25.56,Quarterly,0.366 CAD,N/A,03/06/2019,128700000,25.56,25.55,,25.74,0.19,0.74,LB.PR.J,21708,5.682
2065,-0.9753833634380806,0.5005637772147133,0.9556124444172666,13.04,12.91,Quarterly,0.030 CAD,-1.110000,03/25/2019,106272000,12.91,13.01,-4.3,12.96,-0.05,-0.38,XMA,7021,0.936
2066,-0.4157635405710232,-0.24979679749548234,0.5589901376138902,18.26,18.26,Monthly,0.050 CAD,N/A,04/29/2019,18260000,18.26,18.24,-0.11,18.26,0.02,0.11,FTB,300,3.286
2067,-0.45069967422877466,-0.5037175233040658,1.0,N/A,N/A,Quarterly,0.070 CAD,N/A,03/28/2019,9037701,N/A,11.29,-0.09,11.29,0.0,0.0,HII,0,2.296
2068,0.3595657766442286,0.5639043157154906,0.5710343056014384,7.53,7.47,Quarterly,0.151 CAD,N/A,03/22/2019,23553381,7.47,7.52,0.79,7.53,0.01,0.13,NXF,13620,8.758
2069,-0.7983799344694611,0.5824904044418404,0.8215594145216065,0.62,0.62,N/A,N A,0.260000,N/A,48536725,0.62,0.63,-3.23,0.62,-0.01,-1.59,MBA,42500,N/A
2070,,,,2.10,2.10,N/A,N A,N/A,N/A,11666668,2.10,2.11,,2.1,-0.01,-0.47,RVX.WT,300,N/A
2071,0.8549249867886856,0.48901704158426607,0.7764781951032346,20.78,20.72,Monthly,0.115 CAD,N/A,04/26/2019,920330600,20.78,20.73,0.82,20.72,-0.01,-0.05,ZWE,3283,6.167
